plotno,percgreen,percyellow,percbrown,idc_score
july_12_plot_23.pcd,0.0,6.354515050167224,29.431438127090303,5
july_12_plot_137.pcd,0.0,9.099350046425256,26.83379758588672,5
july_12_plot_16.pcd,0.0,21.645796064400717,13.297555158020275,3
july_12_plot_76.pcd,0.0,18.31626848691695,15.927189988623436,4
july_12_plot_64.pcd,0.0,24.026845637583893,8.859060402684564,3
july_12_plot_146.pcd,0.0,21.935483870967744,12.401433691756273,3
july_12_plot_151.pcd,0.0,18.80952380952381,17.0,4
july_12_plot_167.pcd,0.0,0.0,33.33333333333333,5
july_12_plot_94.pcd,0.0,24.649859943977592,10.014005602240896,3
july_12_plot_176.pcd,0.3171247357293869,26.955602536997887,7.470049330514447,3
july_12_plot_119.pcd,0.0,13.20450885668277,22.705314009661837,4
july_12_plot_160.pcd,0.0,21.163166397415186,15.670436187399032,4
july_12_plot_2.pcd,0.0,1.7060367454068242,32.020997375328086,5
july_12_plot_110.pcd,0.0,5.843293492695882,29.482071713147413,5
july_12_plot_111.pcd,0.0,0.7698229407236336,32.948421862971514,5
july_12_plot_129.pcd,0.0,1.9650655021834063,32.1688500727802,5
july_12_plot_78.pcd,0.0,6.455399061032864,28.87323943661972,5
july_12_plot_4.pcd,0.0,3.4552845528455287,31.808943089430898,5
july_12_plot_166.pcd,0.0,3.4375000000000004,31.145833333333332,5
july_12_plot_19.pcd,0.0,10.747271200671705,25.440806045340054,5
july_12_plot_147.pcd,0.0,5.908289241622574,29.717813051146386,5
july_12_plot_220.pcd,0.0,3.5555555555555554,30.22222222222222,5
july_12_plot_32.pcd,0.0,9.558823529411764,26.47058823529412,5
july_12_plot_200.pcd,0.17543859649122806,18.421052631578945,18.24561403508772,4
july_12_plot_163.pcd,0.08333333333333334,24.583333333333332,10.583333333333334,3
